image,mLeft,bLeft,mRight,bRight
training/small_set/plot_gap_frame211.jpg,-1.0860927152,420.9271523179,0.547008547,375.4273504274
training/small_set/plot_gap_frame285.jpg,-0.8607594937,375.5063291139,0.8474576271,236.0338983051
training/small_set/cluttered_floor_frame15.jpg,-0.75,339,0.7891566265,304.0963855422
training/small_set/plot_gap_frame259.jpg,-1.0962566845,408.8235294118,0.7773109244,285.0714285714
training/small_set/plot_gap_frame283.jpg,-0.9807692308,400.0769230769,1.0208333333,228.0625
training/small_set/late_season_frame340.jpg,-0.75,233.75,0.8765432099,418.012345679
training/small_set/cluttered_floor_frame19.jpg,-0.8602941176,358.6102941176,0.7704918033,308.6885245902
training/small_set/cluttered_floor_frame23.jpg,-0.7983870968,345.4112903226,0.8543046358,291.8543046358
training/small_set/cluttered_floor_frame21.jpg,-0.8020833333,345.28125,0.843575419,285.9608938547
training/small_set/cluttered_floor_frame24.jpg,-0.9072164948,367.7525773196,0.7916666667,298.625
training/small_set/cluttered_floor_frame14.jpg,-0.7818181818,338.6363636364,0.7643678161,298.8735632184
training/small_set/late_season_frame635.jpg,-0.6774193548,153.3225806452,0.75,422.25
training/small_set/cluttered_floor_frame27.jpg,-0.752688172,336.6559139785,0.8040540541,294.9391891892
training/small_set/cluttered_floor_frame16.jpg,-0.696969697,333.4545454545,0.76,315.92
training/small_set/plot_gap_frame210.jpg,-1.1202531646,432.6898734177,0.5705882353,359.1941176471
training/small_set/cluttered_floor_frame17.jpg,-0.7217391304,338.4347826087,0.816091954,285.1379310345
training/small_set/cluttered_floor_frame22.jpg,-0.8532110092,351.2110091743,0.7557603687,297.2396313364
training/small_set/plot_gap_frame258.jpg,-1.0252525253,393.8636363636,0.8595744681,266.3617021277
training/small_set/plot_gap_frame260.jpg,-0.7692307692,325.7692307692,0.6811594203,328.5652173913
training/small_set/plot_gap_frame284.jpg,-0.85,367.8,1.1071428571,197.2142857143
training/small_set/cluttered_floor_frame313.jpg,-0.7523809524,457.9142857143,0.6588235294,374.8470588235
training/small_set/plot_gap_frame282.jpg,-1.0925925926,438.4259259259,0.9242424242,264.0757575758
training/small_set/cluttered_floor_frame18.jpg,-0.6814159292,320.2212389381,0.7660818713,314.1111111111
training/small_set/late_season_frame244.jpg,-0.9444444444,251.4444444444,0.6370967742,465.5483870968
training/small_set/cluttered_floor_frame314.jpg,-0.7333333333,453.5333333333,0.5380116959,408.5614035088
training/small_set/plot_gap_frame281.jpg,-0.9104477612,411.2835820896,0.8909090909,263.4909090909
training/small_set/plot_gap_frame280.jpg,-0.8703703704,397.3333333333,1.275,210.125
training/small_set/late_season_frame250.jpg,-1.2125,261.5625,0.7948717949,442.0256410256
training/small_set/late_season_frame318.jpg,-0.9647887324,202.3098591549,1.0794701987,418.2185430464
training/small_set/cluttered_floor_frame20.jpg,-0.814159292,343.0707964602,0.7675675676,310.5891891892
training/small_set/plot_gap_frame212.jpg,-1.1320754717,437.0377358491,0.7281105991,315.4746543779
training/small_set/cluttered_floor_frame28.jpg,-0.7868852459,344.4918032787,0.7551020408,310.9387755102
training/small_set/cluttered_floor_frame26.jpg,-0.8220338983,350.6440677966,0.8470588235,290.6470588235
training/small_set/plot_gap_frame286.jpg,-1.0526315789,386.4210526316,0.8,238.8
training/small_set/cluttered_floor_frame29.jpg,-0.7636363636,334.9272727273,0.782122905,305.3240223464
training/small_set/cluttered_floor_frame25.jpg,-0.8148148148,347.1111111111,0.8034682081,297.7283236994
training/small_set/early_season_2_0_9224.png,-1,549,1.1216216216,187.6756756757
training/small_set/early_season_15.png,-0.6887966805,333.8589211618,1.1242937853,308.1751412429
training/small_set/early_season_2_0_8880.png,-1.0849673203,534.4575163399,0.8064516129,196.1290322581
training/small_set/early_season_2.png,-0.8293838863,377.4075829384,1.1470588235,194.3823529412
training/small_set/early_season_4.png,-0.8086124402,300.4545454545,1.1383647799,342.0503144654
training/small_set/early_season_9.png,-0.7606382979,229.9042553191,1.0171428571,267.0914285714
training/small_set/early_season_1.png,-0.6587301587,302.0634920635,1.1223021583,398.5971223022
